Date,FridayLabel,Week,Year
2025-07-06,2025-07-11,28,2025
2025-07-13,2025-07-18,29,2025
2025-07-20,2025-07-25,30,2025
2025-07-27,2025-08-01,31,2025
2025-08-03,2025-08-08,32,2025
2025-08-10,2025-08-15,33,2025
2025-08-17,2025-08-22,34,2025
2025-08-24,2025-08-29,35,2025
2025-08-31,2025-09-05,36,2025
2025-09-07,2025-09-12,37,2025
2025-09-14,2025-09-19,38,2025
2025-09-21,2025-09-26,39,2025
2025-09-28,2025-10-03,40,2025
2025-10-05,2025-10-10,41,2025
2025-10-12,2025-10-17,42,2025
2025-10-19,2025-10-24,43,2025
2025-10-26,2025-10-31,44,2025
2025-11-02,2025-11-07,45,2025
2025-11-09,2025-11-14,46,2025
2025-11-16,2025-11-21,47,2025
2025-11-23,2025-11-28,48,2025
2025-11-30,2025-12-05,49,2025
